 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_oithona_like  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200704JD","   90.00","   90.00","2007-04-04","2007-04-04",19:17,Day,"146755.10","  205.94"
"200704JD","   80.00","   90.00","2007-04-04","2007-04-05","01:53",Night,"96531.10",   95.84
"200704JD","   60.00","   90.00","2007-04-04","2007-04-05",15:23,Day,121152.18,  164.76
"200704JD","   53.00","   90.00","2007-04-04","2007-04-05",21:12,Night,"60977.75",   63.68
"200704JD","   70.00","   90.00","2007-04-04","2007-04-05","07:29",Day,"104683.37",  147.66
"200704JD","   45.00","   90.00","2007-04-04","2007-04-06","02:48",Night,"40668.52","   42.60"
"200704JD","   37.00","   90.00","2007-04-04","2007-04-06","07:40",Day,49596.64,   77.46
"200704JD","   35.00","   90.00","2007-04-04","2007-04-06",11:54,Day,93587.52,   92.73
"200704JD","   30.00","   90.00","2007-04-04","2007-04-06",16:38,Day,133186.79,  128.19
"200704JD","   28.00","   90.00","2007-04-04","2007-04-06",19:24,Night,"44633.40",   51.83
"200707NH","  120.00","   90.00","2007-07-06","2007-07-01",19:35,Day,  248.71,"    2.03"
"200707NH","  110.00","   90.00","2007-07-06","2007-07-02","02:25",Night, 1184.81,    2.91
"200707NH","  100.00","   90.00","2007-07-06","2007-07-02","07:53",Day, 4554.69,   15.33
"200707NH","   90.00","   90.00","2007-07-06","2007-07-02","16:02",Day,   18.22,"    0.02"
"200707NH","   80.00","   90.00","2007-07-06","2007-07-02",22:49,Night," 1120.40",    2.31
"200707NH","   70.00","   90.00","2007-07-06","2007-07-03","05:30",Day,12344.49,   14.85
"200707NH","   53.00","   90.00","2007-07-06","2007-07-03","17:50",Day,"20027.26",   31.36
"200707NH","   60.00","   90.00","2007-07-06","2007-07-03",12:24,Day,"10080.90","   15.02"
"200707NH","   45.00","   90.00","2007-07-06","2007-07-03",23:45,Night,39512.26,   52.86
"200707NH","   37.00","   90.00","2007-07-06","2007-07-04","05:34",Day,89991.54,"  106.99"
"200707NH","   35.00","   90.00","2007-07-06","2007-07-04","08:21",Day,22296.77,"   30.54"
"200707NH","   30.00","   90.00","2007-07-06","2007-07-04",12:28,Day,"31734.80","   40.06"
"200707NH","   28.00","   90.00","2007-07-06","2007-07-04","15:05",Day," 6729.10",    7.97
"200707NH","   70.00","   80.00","2007-07-06","2007-07-10","22:06",Night,66625.56,   85.44
"200707NH","   60.00","   80.00","2007-07-06","2007-07-10",14:29,Day,"170245.06",  192.53
"200707NH","   55.00","   80.00","2007-07-06","2007-07-10","08:38",Day,"236012.70","  265.01"
"200707NH","   51.00","   80.00","2007-07-06","2007-07-10","05:47",Day,"88055.37","  100.84"
"200707NH","  100.00","   80.00","2007-07-06","2007-07-11","18:05",Day, 7167.29,"   10.33"
"200707NH","   90.00","   80.00","2007-07-06","2007-07-11",11:48,Day, 8389.13,   12.61
"200707NH","   80.00","   80.00","2007-07-06","2007-07-11","04:58",Day,"30810.28","   39.05"
"200711NH","  120.00","   90.00","2007-11-07","2007-11-06","12:01",Day," 8906.37","   10.49"
"200711NH","  110.00","   90.00","2007-11-07","2007-11-06",18:37,Night,"17501.23",   16.33
"200711NH","  100.00","   90.00","2007-11-07","2007-11-07","01:26",Night," 2350.83","    2.40"
"200711NH","   80.00","   90.00","2007-11-07","2007-11-07",15:57,Day, 6943.57,"    6.01"
"200711NH","   90.00","   90.00","2007-11-07","2007-11-07","08:00",Day,"10573.44",   11.44
"200711NH","   70.00","   90.00","2007-11-07","2007-11-07",22:18,Night,29262.57,"   30.42"
"200711NH","   60.00","   90.00","2007-11-07","2007-11-08","05:56",Day,11877.22,   12.98
"200711NH","   53.00","   90.00","2007-11-07","2007-11-08","11:05",Day,27542.94,   29.68
"200711NH","   45.00","   90.00","2007-11-07","2007-11-08",16:49,Day,"23460.79",   23.61
"200711NH","   37.00","   90.00","2007-11-07","2007-11-08",22:27,Night,41534.51,   41.44
"200711NH","   35.00","   90.00","2007-11-07","2007-11-09","01:35",Night,"16908.01",   16.52
"200711NH","   30.00","   90.00","2007-11-07","2007-11-09","06:28",Day,"29995.02",   27.12
"200711NH","   28.00","   90.00","2007-11-07","2007-11-09","08:54",Day,"60517.62","   60.75"
"200801JD","  110.00","   90.00","2008-01-17","2008-01-11",11:59,Day,14193.37,   16.43
