 Extracted on 12-Jul-2023 Mark Ohman lab SIO 
Station values of  copepoda_others  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"200707NH","   80.00","   90.00","2007-07-06","2007-07-02",22:49,Night," 2488.90",    2.82
"200707NH","   53.00","   90.00","2007-07-06","2007-07-03","17:50",Day,32576.86,   39.74
"200707NH","   70.00","   90.00","2007-07-06","2007-07-03","05:30",Day,"14309.36",   13.21
"200707NH","   60.00","   90.00","2007-07-06","2007-07-03",12:24,Day,"25031.65",   23.76
"200707NH","   45.00","   90.00","2007-07-06","2007-07-03",23:45,Night,68277.19,   79.31
"200707NH","   28.00","   90.00","2007-07-06","2007-07-04","15:05",Day,53832.78,   52.66
"200707NH","   35.00","   90.00","2007-07-06","2007-07-04","08:21",Day,"58510.25","   57.80"
"200707NH","   30.00","   90.00","2007-07-06","2007-07-04",12:28,Day,96286.48,   94.43
"200707NH","   37.00","   90.00","2007-07-06","2007-07-04","05:34",Day,"138103.35","  137.80"
"200707NH","   51.00","   80.00","2007-07-06","2007-07-10","05:47",Day," 5825.03",    6.97
"200707NH","   55.00","   80.00","2007-07-06","2007-07-10","08:38",Day,"16393.04","   14.03"
"200707NH","   60.00","   80.00","2007-07-06","2007-07-10",14:29,Day,23391.49,   21.61
"200707NH","   70.00","   80.00","2007-07-06","2007-07-10","22:06",Night," 5418.30",    6.37
"200707NH","  100.00","   80.00","2007-07-06","2007-07-11","18:05",Day,  374.17,"    0.43"
"200707NH","   90.00","   80.00","2007-07-06","2007-07-11",11:48,Day,  151.32,"    0.11"
"200707NH","   80.00","   80.00","2007-07-06","2007-07-11","04:58",Day, 1482.69,"    1.70"
"200711NH","  110.00","   90.00","2007-11-07","2007-11-06",18:37,Night, 5735.62,    4.34
"200711NH","  120.00","   90.00","2007-11-07","2007-11-06","12:01",Day," 3710.99",    3.46
"200711NH","   70.00","   90.00","2007-11-07","2007-11-07",22:18,Night,"18939.07",   15.26
"200711NH","   80.00","   90.00","2007-11-07","2007-11-07",15:57,Day, 8354.82,    6.19
"200711NH","   90.00","   90.00","2007-11-07","2007-11-07","08:00",Day," 4900.62",    5.36
"200711NH","  100.00","   90.00","2007-11-07","2007-11-07","01:26",Night," 1408.82",    1.51
"200711NH","   60.00","   90.00","2007-11-07","2007-11-08","05:56",Day,"11730.72",    9.41
"200711NH","   45.00","   90.00","2007-11-07","2007-11-08",16:49,Day," 9900.53",    9.14
"200711NH","   37.00","   90.00","2007-11-07","2007-11-08",22:27,Night,39714.59,   33.86
"200711NH","   53.00","   90.00","2007-11-07","2007-11-08","11:05",Day,"22264.07",   19.42
"200711NH","   30.00","   90.00","2007-11-07","2007-11-09","06:28",Day,"14310.07","   10.75"
"200711NH","   35.00","   90.00","2007-11-07","2007-11-09","01:35",Night," 9863.01",    8.97
"200711NH","   28.00","   90.00","2007-11-07","2007-11-09","08:54",Day,"29056.41",   21.87
"200801JD","  110.00","   90.00","2008-01-17","2008-01-11",11:59,Day,"  660.89","    0.55"
"200801JD","  100.00","   90.00","2008-01-17","2008-01-11","18:50",Night, 3251.25,    2.74
"200801JD","  120.00","   90.00","2008-01-17","2008-01-11","04:51",Night,"13617.90","   10.26"
"200801JD","   60.00","   90.00","2008-01-17","2008-01-12",23:14,Night, 6222.98,"    4.90"
"200801JD","   80.00","   90.00","2008-01-17","2008-01-12","07:36",Day,"20195.45",   15.11
"200801JD","   90.00","   90.00","2008-01-17","2008-01-12","01:42",Night," 2206.97","    1.90"
"200801JD","   35.00","   90.00","2008-01-17","2008-01-13",19:24,Night,"40938.16",   36.13
"200801JD","   37.00","   90.00","2008-01-17","2008-01-13",16:26,Day,"20765.80",   17.98
"200801JD","   45.00","   90.00","2008-01-17","2008-01-13","10:36",Day,"71777.04",   65.76
"200801JD","   53.00","   90.00","2008-01-17","2008-01-13","04:40",Night,"10752.02",    8.63
"200801JD","   28.00","   90.00","2008-01-17","2008-01-14","05:00",Night, 9736.81,    8.25
"200801JD","   30.00","   90.00","2008-01-17","2008-01-14","00:24",Night,27846.48,   28.37
"200801JD","   55.00","   80.00","2008-01-17","2008-01-19","07:58",Day," 8140.29",    8.88
"200801JD","   51.00","   80.00","2008-01-17","2008-01-19","04:24",Night,31377.55,   31.53
"200801JD","   60.00","   80.00","2008-01-17","2008-01-19",12:35,Day," 4930.94","    5.01"
"200801JD","   70.00","   80.00","2008-01-17","2008-01-23","00:24",Night,"10295.85","   10.63"
"200801JD","  100.00","   80.00","2008-01-17","2008-01-23",21:51,Night," 3880.30","    4.05"
"200801JD","   90.00","   80.00","2008-01-17","2008-01-23",15:19,Day, 8279.46,    8.83
"200801JD","   80.00","   80.00","2008-01-17","2008-01-23","05:54",Night," 6086.06",    8.21
"200804JD","  120.00","   90.00","2008-03-29","2008-03-28",16:58,Day,"29610.52",   21.87
"200804JD","   80.00","   90.00","2008-03-29","2008-03-29",21:59,Night,"87980.11",   69.86
"200804JD","   90.00","   90.00","2008-03-29","2008-03-29",14:47,Day,41782.24,   33.29
"200804JD","  100.00","   90.00","2008-03-29","2008-03-29","05:52",Day,"17768.09",   15.38
"200804JD","  110.00","   90.00","2008-03-29","2008-03-29","00:08",Night," 4845.05",    4.89
"200804JD","   60.00","   90.00","2008-03-29","2008-03-30",12:21,Day,"60445.32",   48.57
"200804JD","   70.00","   90.00","2008-03-29","2008-03-30","04:58",Day,99487.19,   83.96
"200804JD","   28.00","   90.00","2008-03-29","2008-03-31",17:36,Day,292257.25,"  280.70"
"200804JD","   30.00","   90.00","2008-03-29","2008-03-31",14:27,Day,173533.66,  165.92
"200804JD","   37.00","   90.00","2008-03-29","2008-03-31","05:54",Day,"266209.45","  260.77"
"200804JD","   35.00","   90.00","2008-03-29","2008-03-31","08:20",Day,"353006.36",  351.72
"200804JD","   45.00","   90.00","2008-03-29","2008-03-31","00:01",Night,"80077.55",   74.44
"200808NH","  120.00","   90.00","2008-08-22","2008-08-18","00:06",Night," 1217.09",    1.13
"200808NH","   90.00","   90.00","2008-08-22","2008-08-18",19:53,Night," 3940.70","    3.07"
"200808NH","  100.00","   90.00","2008-08-22","2008-08-18",13:38,Day," 3080.01",    2.62
"200808NH","  110.00","   90.00","2008-08-22","2008-08-18","06:59",Day," 1807.92",    1.23
"200808NH","   70.00","   90.00","2008-08-22","2008-08-19","08:18",Day, 2651.99,    2.15
"200808NH","   80.00","   90.00","2008-08-22","2008-08-19","02:29",Night," 4473.20","    3.50"
"200808NH","   28.00","   90.00","2008-08-22","2008-08-20",12:53,Day,12142.95,    9.77
"200808NH","   30.00","   90.00","2008-08-22","2008-08-20","17:20",Day,11731.77,    9.63
"200808NH","   35.00","   90.00","2008-08-22","2008-08-20",21:26,Night,"21760.91",   16.96
"200808NH","   37.00","   90.00","2008-08-22","2008-08-21","00:57",Night,"10909.34",    9.56
"200808NH","   90.00","   80.00","2008-08-22","2008-08-27","15:10",Day,"    0.00","    0.00"
"200808NH","   70.00","   80.00","2008-08-22","2008-08-27","01:47",Night,  498.63,"    0.95"
