"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"109","0000000000000000006c",109,310.333333333333,12,334,-23.6666666666667,-0.0762620837808808,NA,NA,0,0
"110","0000000000000000006d",110,284.666666666667,12,267,17.6666666666667,0.0620608899297425,8.49999999999999,2.07843137254902,0,0
"111","0000000000000000006e",111,251,12,197,54,0.215139442231076,23.1,2.33766233766234,1,0
"112","0000000000000000006f",112,286,12,309,-23,-0.0804195804195804,NA,NA,0,0
"113","70",113,-0.333333333333333,12,3,-3.33333333333333,10,NA,NA,0,0
"114","71",114,247.666666666667,12,301,-53.3333333333333,-0.215343203230148,NA,NA,0,0
"115","72",115,281,12,269,12,0.0427046263345196,15.1491228070175,0.79212507237985,0,0
"116","73",116,288.333333333333,12,322,-33.6666666666667,-0.116763005780347,NA,NA,0,0
"117","74",117,282.333333333333,12,210,72.3333333333333,0.256198347107438,12.6842105263158,5.70262793914246,1,0
"118","75",118,276.666666666667,12,268,8.66666666666669,0.0313253012048193,5.49999999999997,1.57575757575759,0,0
"119","76",119,228,12,256,-28,-0.12280701754386,NA,NA,0,0
"120","77",120,237,12,279,-42,-0.177215189873418,NA,NA,0,0
"121","78",121,276.333333333333,12,321,-44.6666666666667,-0.161640530759952,NA,NA,0,0
"122","79",122,295.666666666667,12,303,-7.33333333333331,-0.0248027057497181,NA,NA,0,0
"123","0000000000000000007a",123,305,12,319,-14,-0.0459016393442623,NA,NA,0,0
"124","0000000000000000007b",124,235.333333333333,12,257,-21.6666666666667,-0.0920679886685552,NA,NA,0,0
"125","0000000000000000007c",125,316,12,305,11,0.0348101265822785,10.7142857142857,1.02666666666667,0,0
"126","0000000000000000007d",126,282.666666666667,12,285,-2.33333333333331,-0.00825471698113201,NA,NA,0,0
"127","0000000000000000007e",127,299.666666666667,12,318,-18.3333333333333,-0.0611790878754171,NA,NA,0,0
"128","0000000000000000007f",128,255.333333333333,13,250,5.33333333333334,0.0208877284595301,11.9999999999999,0.444444444444449,0,0
"129","80",129,250.333333333333,13,231,19.3333333333333,0.0772303595206392,4.63953488372092,4.1670843776107,0,0
"130","81",130,289.333333333333,13,242,47.3333333333333,0.163594470046083,25,1.89333333333334,0,1
"131","82",131,268.666666666667,13,239,29.6666666666667,0.110421836228288,6.81395348837211,4.35381114903299,0,1
"132","83",132,302.333333333333,13,267,35.3333333333333,0.116868798235943,1.99999999999995,17.6666666666671,0,0
"133","84",133,270.666666666667,13,248,22.6666666666667,0.0837438423645321,3.91860465116279,5.784371909001,0,0
"134","85",134,278.666666666667,12,279,-0.333333333333314,-0.00119617224880376,11,-0.0303030303030286,0,0
"135","86",135,282.333333333333,13,143,139.333333333333,0.493506493506493,34.2,4.07407407407407,0,1
"136","87",136,283,13,243,40,0.141342756183746,6.83720930232558,5.85034013605442,0,1
"137","88",137,320.666666666667,13,243,77.6666666666667,0.242203742203742,36,2.15740740740741,0,1
"138","89",138,294,13,282,12,0.0408163265306122,8.99999999999991,1.33333333333335,0,0
"139","0000000000000000008a",139,230,13,232,-2,-0.00869565217391304,-3.99999999999991,0.500000000000011,0,0
"140","0000000000000000008b",140,261.333333333333,12,243,18.3333333333333,0.0701530612244897,9.6,1.90972222222222,0,0
