plot,loc,size,RO,BO,WO,CO
1 34,S10,2,0,0,0,0
1 34,S10,3,0,0,0,0
1 34,W5,1,0,0,0,0
1 34,W5,2,0,0,0,0
1 34,W5,3,0,0,0,0
1 34,W10,1,0,0,0,0
1 34,W10,2,0,0,0,0
1 34,W10,3,0,0,0,0
1 40,N5,1,1,0,0,0
1 40,N5,2,0,0,0,0
1 40,N5,3,0,0,0,0
1 40,N10,1,1,0,0,0
1 40,N10,2,0,0,0,0
1 40,N10,3,0,0,0,0
1 40,E5,1,1,0,0,0
1 40,E5,2,0,0,0,0
1 40,E5,3,0,0,0,0
1 40,E10,1,0,0,0,0
1 40,E10,2,1,0,0,0
1 40,E10,3,0,0,0,0
1 40,S5,1,1,0,0,0
1 40,S5,2,0,0,0,0
1 40,S5,3,0,0,0,0
1 40,S10,1,1,0,1,0
1 40,S10,2,0,0,0,0
1 40,S10,3,0,0,0,0
1 40,W5,1,1,0,0,0
1 40,W5,2,1,0,0,0
1 40,W5,3,0,0,0,0
1 40,W10,1,1,1,0,0
1 40,W10,2,0,0,0,0
1 40,W10,3,0,0,0,0
1 38,N5,1,1,1,0,0
1 38,N5,2,0,0,0,0
1 38,N5,3,0,0,0,0
1 38,N10,1,1,0,0,0
1 38,N10,2,0,0,0,0
1 38,N10,3,0,0,0,0
1 38,E5,1,1,0,0,0
1 38,E5,2,0,0,0,0
1 38,E5,3,0,0,0,0
1 38,E10,1,1,0,0,0
1 38,E10,2,0,0,0,0
1 38,E10,3,0,0,0,0
1 38,S5,1,1,0,0,0
1 38,S5,2,0,0,0,0
1 38,S5,3,0,0,0,0
1 38,S10,1,0,0,0,0
1 38,S10,2,0,0,0,0
1 38,S10,3,0,0,0,0
1 38,W5,1,1,0,0,0
1 38,W5,2,1,1,0,0
1 38,W5,3,0,0,0,0
1 38,W10,1,0,0,0,0
1 38,W10,2,0,0,0,0
1 38,W10,3,0,0,0,0
1 41,N5,1,1,0,0,0
1 41,N5,2,1,0,0,0
1 41,N5,3,0,0,0,0
1 41,N10,1,1,0,0,0
1 41,N10,2,0,0,0,0
1 41,N10,3,0,0,0,0
1 41,E5,1,1,0,0,0
1 41,E5,2,0,1,0,0
1 41,E5,3,0,0,0,0
1 41,E10,1,1,0,0,0
1 41,E10,2,0,0,0,0
1 41,E10,3,0,0,0,0
1 41,S5,1,1,0,0,0
1 41,S5,2,1,0,0,0
1 41,S5,3,1,0,0,0
1 41,S10,1,1,0,0,0
1 41,S10,2,0,0,0,0
1 41,S10,3,0,0,0,0
1 41,W5,1,1,0,0,0
1 41,W5,2,1,0,0,0
1 41,W5,3,0,0,0,0
1 41,W10,1,1,0,0,0
1 41,W10,2,1,0,0,0
1 41,W10,3,0,0,0,0
1 45,N5,1,1,0,0,0
1 45,N5,2,1,0,0,0
1 45,N5,3,0,0,0,0
1 45,N10,1,0,0,0,0
1 45,N10,2,0,0,0,0
1 45,N10,3,0,0,0,0
1 45,E5,1,1,0,0,0
1 45,E5,2,1,0,0,0
1 45,E5,3,0,0,0,0
1 45,E10,1,1,0,0,0
1 45,E10,2,1,0,0,0
1 45,E10,3,0,0,0,0
1 45,S5,1,1,0,0,0
1 45,S5,2,0,0,0,0
1 45,S5,3,0,0,0,0
1 45,S10,1,0,0,0,0
1 45,S10,2,0,0,0,0
1 45,S10,3,0,0,0,0
1 45,W5,1,0,0,1,0
1 45,W5,2,0,0,1,0
1 45,W5,3,0,0,0,0
1 45,W10,1,1,0,0,0
1 45,W10,2,0,0,0,0
1 45,W10,3,0,0,0,0
1 46,N5,1,1,0,0,0
1 46,N5,2,1,0,0,0
1 46,N5,3,0,0,0,0
1 46,N10,1,0,0,0,0
1 46,N10,2,0,0,0,0
1 46,N10,3,0,0,0,0
1 46,E5,1,1,0,0,0
1 46,E5,2,0,0,0,0
1 46,E5,3,0,0,0,0
1 46,E10,1,0,0,0,0
1 46,E10,2,0,0,0,0
1 46,E10,3,0,0,0,0
1 46,S5,1,0,0,0,0
1 46,S5,2,0,0,0,0
1 46,S5,3,0,0,0,0
1 46,S10,1,0,0,0,0
1 46,S10,2,0,0,0,0
1 46,S10,3,0,0,0,0
1 46,W5,1,1,0,0,0
1 46,W5,2,0,0,0,0
