plot,plot_2,loc,size,RO,BO,WO,CO
1 46,1_46,S5,3,0,0,0,0
1 46,1_46,S10,1,0,0,0,0
1 46,1_46,S10,2,0,0,0,0
1 46,1_46,S10,3,0,0,0,0
1 46,1_46,W5,1,1,0,0,0
1 46,1_46,W5,2,0,0,0,0
1 46,1_46,W5,3,0,0,0,0
1 46,1_46,W10,1,0,0,0,0
1 46,1_46,W10,2,0,0,0,0
1 46,1_46,W10,3,0,0,0,0
1 47,1_47,N5,1,0,0,1,0
1 47,1_47,N5,2,0,0,0,0
1 47,1_47,N5,3,0,0,0,0
1 47,1_47,N10,1,0,0,0,0
1 47,1_47,N10,2,0,0,0,0
1 47,1_47,N10,3,0,0,0,0
1 47,1_47,E5,1,1,0,0,0
1 47,1_47,E5,2,0,0,0,0
1 47,1_47,E5,3,0,0,0,0
1 47,1_47,E10,1,1,0,0,0
1 47,1_47,E10,2,0,0,0,0
1 47,1_47,E10,3,0,0,0,0
1 47,1_47,S5,1,1,0,0,0
1 47,1_47,S5,2,0,0,0,0
1 47,1_47,S5,3,0,0,0,0
1 47,1_47,S10,1,1,0,0,0
1 47,1_47,S10,2,0,0,0,0
1 47,1_47,S10,3,0,0,0,0
1 47,1_47,W5,1,1,0,0,0
1 47,1_47,W5,2,0,0,0,0
1 47,1_47,W5,3,0,0,0,0
1 47,1_47,W10,1,0,0,0,0
1 47,1_47,W10,2,0,0,0,0
1 47,1_47,W10,3,0,0,0,0
1 50,1_50,N5,1,1,0,0,0
1 50,1_50,N5,2,0,0,0,0
1 50,1_50,N5,3,0,0,0,0
1 50,1_50,N10,1,1,0,0,0
1 50,1_50,N10,2,0,0,0,0
1 50,1_50,N10,3,0,0,0,0
1 50,1_50,E5,1,1,0,0,0
1 50,1_50,E5,2,0,0,0,0
1 50,1_50,E5,3,0,0,0,0
1 50,1_50,E10,1,1,0,0,0
1 50,1_50,E10,2,0,0,0,0
1 50,1_50,E10,3,0,0,0,0
1 50,1_50,S5,1,1,0,0,0
1 50,1_50,S5,2,0,0,0,0
1 50,1_50,S5,3,0,0,0,0
1 50,1_50,S10,1,1,0,1,0
1 50,1_50,S10,2,0,0,0,0
1 50,1_50,S10,3,0,0,0,0
1 50,1_50,W5,1,1,0,0,0
1 50,1_50,W5,2,0,0,0,0
1 50,1_50,W5,3,0,0,0,0
1 50,1_50,W10,1,1,0,0,0
1 50,1_50,W10,2,0,0,0,0
1 50,1_50,W10,3,1,0,0,0
1 51,1_51,N5,1,1,0,0,0
1 51,1_51,N5,2,0,0,0,0
1 51,1_51,N5,3,0,0,0,0
1 51,1_51,N10,1,1,0,0,0
1 51,1_51,N10,2,0,0,0,0
1 51,1_51,N10,3,0,0,0,0
1 51,1_51,E5,1,0,0,0,0
1 51,1_51,E5,2,0,0,0,0
1 51,1_51,E5,3,0,0,0,0
1 51,1_51,E10,1,1,0,0,0
1 51,1_51,E10,2,0,0,0,0
1 51,1_51,E10,3,0,0,0,0
1 51,1_51,S5,1,1,1,0,0
1 51,1_51,S5,2,0,0,0,0
1 51,1_51,S5,3,0,0,0,0
1 51,1_51,S10,1,1,1,0,0
1 51,1_51,S10,2,0,0,0,0
1 51,1_51,S10,3,0,0,0,0
1 51,1_51,W5,1,0,0,0,0
1 51,1_51,W5,2,0,0,0,0
1 51,1_51,W5,3,0,0,0,0
1 51,1_51,W10,1,0,0,0,0
1 51,1_51,W10,2,0,0,0,0
1 51,1_51,W10,3,0,0,0,0
1 52,1_52,N5,1,0,0,0,0
1 52,1_52,N5,2,0,0,0,0
1 52,1_52,N5,3,0,0,0,0
1 52,1_52,N10,1,1,0,0,0
1 52,1_52,N10,2,0,0,0,0
1 52,1_52,N10,3,0,0,0,0
1 52,1_52,E5,1,1,0,0,0
1 52,1_52,E5,2,0,0,0,0
1 52,1_52,E5,3,0,0,0,0
1 52,1_52,E10,1,1,0,0,0
1 52,1_52,E10,2,0,0,0,0
1 52,1_52,E10,3,0,0,0,0
1 52,1_52,S5,1,1,0,0,0
1 52,1_52,S5,2,0,0,0,0
1 52,1_52,S5,3,0,0,0,0
1 52,1_52,S10,1,1,0,0,0
1 52,1_52,S10,2,0,0,0,0
1 52,1_52,S10,3,0,0,0,0
1 52,1_52,W5,1,1,0,0,0
1 52,1_52,W5,2,0,0,0,0
1 52,1_52,W5,3,0,0,0,0
1 52,1_52,W10,1,0,0,0,0
1 52,1_52,W10,2,0,0,0,0
1 52,1_52,W10,3,0,0,0,0
1 54,1_54,N5,1,0,0,0,0
1 54,1_54,N5,2,0,0,0,0
1 54,1_54,N5,3,0,0,0,0
1 54,1_54,N10,1,0,0,0,0
1 54,1_54,N10,2,0,0,0,0
1 54,1_54,N10,3,0,0,0,0
1 54,1_54,E5,1,0,0,0,0
1 54,1_54,E5,2,0,0,0,0
1 54,1_54,E5,3,0,0,0,0
1 54,1_54,E10,1,1,0,0,0
1 54,1_54,E10,2,0,0,0,0
1 54,1_54,E10,3,0,0,0,0
1 54,1_54,S5,1,0,0,0,0
1 54,1_54,S5,2,0,0,0,0
1 54,1_54,S5,3,0,0,0,0
1 54,1_54,S10,1,0,0,0,0
1 54,1_54,S10,2,0,0,0,0
1 54,1_54,S10,3,0,0,0,0
1 54,1_54,W5,1,1,0,0,0
1 54,1_54,W5,2,0,0,0,0
1 54,1_54,W5,3,0,0,0,0
1 54,1_54,W10,1,0,0,0,0
1 54,1_54,W10,2,0,0,0,0
1 54,1_54,W10,3,0,0,0,0
1 56,1_56,N5,1,1,0,0,0
1 56,1_56,N5,2,0,0,0,0
1 56,1_56,N5,3,0,0,0,0
1 56,1_56,N10,1,1,0,0,0
1 56,1_56,N10,2,0,0,0,0
1 56,1_56,N10,3,0,0,0,0
1 56,1_56,E5,1,1,0,0,0
1 56,1_56,E5,2,0,0,0,0
1 56,1_56,E5,3,0,0,0,0
1 56,1_56,E10,1,1,0,0,0
1 56,1_56,E10,2,0,0,0,0
1 56,1_56,E10,3,0,0,0,0
1 56,1_56,S5,1,1,0,0,0
1 56,1_56,S5,2,0,0,0,0
1 56,1_56,S5,3,0,0,0,0
1 56,1_56,S10,1,1,0,0,0
1 56,1_56,S10,2,0,0,0,0
1 56,1_56,S10,3,0,0,0,0
1 56,1_56,W5,1,1,0,0,0
1 56,1_56,W5,2,0,0,0,0
1 56,1_56,W5,3,0,0,0,0
1 56,1_56,W10,1,1,0,0,0
1 56,1_56,W10,2,0,0,0,0
1 56,1_56,W10,3,0,0,0,0
1 65,1_65,N5,1,0,0,0,0
1 65,1_65,N5,2,0,0,0,0
1 65,1_65,N5,3,0,0,0,0
1 65,1_65,N10,1,0,0,0,0
1 65,1_65,N10,2,0,0,0,0
1 65,1_65,N10,3,0,0,0,0
1 65,1_65,E5,1,0,0,0,0
1 65,1_65,E5,2,0,0,0,0
1 65,1_65,E5,3,0,0,0,0
