plot,plot_2,SPP,DBH,CnpExp,DieB,Cond,Epi.S,Notes
1 80,1_80,RO,37.9,1,2,L,Yes,Double stem
1 80,1_80,RO,43.6,1,2,L,Yes,Double stem
1 80,1_80,RO,55.7,1,2,L,Yes,
1 80,1_80,RO,43.2,1,1,L,Yes,
1 80,1_80,RO,37.6,1,1,L,Yes,
1 80,1_80,RO,39.9,1,1,L,Yes,Double stem
1 83,1_83,HL,32.2,2,2,L,NA,top snapped off
1 83,1_83,RM,15.5,1,2,L,NA,
1 83,1_83,RM,19,2,1,L,NA,
1 83,1_83,RO,51,1,1,L,Yes,"few dead branches, not much dieback"
1 83,1_83,RO,53,1,2,L,Yes,lots of dieback on outer edges of canopy
1 83,1_83,RO,52.8,1,1,L,No,
1 89,1_89,BB,29.3,1,1,L,NA,
1 89,1_89,WP,56,1,1,L,NA,
1 89,1_89,RM,44.1,1,1,L,NA,
1 89,1_89,RM,35.8,1,1,L,NA,
1 89,1_89,BB,11,2,1,L,NA,
1 89,1_89,RM,30.4,1,1,L,NA,
1 90,1_90,BB,11.5,1,1,L,NA,
1 90,1_90,WP,61.8,1,1,L,NA,
1 90,1_90,WP,48.2,1,1,L,NA,
1 90,1_90,WP,45.5,1,1,L,NA,
1 90,1_90,WP,48.1,1,1,L,NA,
1 90,1_90,WP,61.2,1,1,L,NA,
1 90,1_90,BB,11.7,2,1,L,NA,
1 90,1_90,WP,59.7,1,1,L,NA,
1 90,1_90,WP,70,1,1,L,NA,Rock wall by it
1 90,1_90,WP,67.9,1,1,L,NA,
1 95,1_95,WP,51.2,1,1,L,NA,White stuff (sap?) on branches
1 95,1_95,WP,45.3,1,1,L,NA,
1 97,1_97,WP,79.2,1,1,L,NA,
1 97,1_97,WP,62.7,1,1,L,NA,
1 97,1_97,BB,11.9,2,1,L,NA,
1 97,1_97,BB,10.3,2,1,L,NA,
1 97,1_97,BB,17,2,1,L,NA,leading becasue of fallen oak
1 97,1_97,WP,48.9,1,1,L,NA,
1 97,1_97,WP,51.3,1,1,L,NA,
1 97,1_97,WP,66.9,1,1,L,NA,
1 97,1_97,WP,52.9,1,1,L,NA,
1 97,1_97,WP,63.8,1,1,L,NA,
1 97,1_97,WP,46.3,1,1,L,NA,
1 97,1_97,WP,65.4,1,1,L,NA,
1 98,1_98,WP,32.9,1,1,L,NA,
1 98,1_98,WP,59.8,1,1,L,NA,
1 98,1_98,WP,27.2,2,1,L,NA,
1 98,1_98,WP,17.5,2,2,L,NA,
1 98,1_98,RM,76.4,1,2,L,NA,Double stem with 1 fallen stem
1 98,1_98,WP,19.5,2,1,L,NA,
1 98,1_98,WP,21.9,2,1,L,NA,
1 98,1_98,WP,20.7,2,1,L,NA,
1 98,1_98,WP,23.2,2,1,L,NA,
1 98,1_98,WP,69.4,1,1,L,NA,
1 98,1_98,WP,15.8,2,1,L,NA,
1 98,1_98,WP,17.7,2,1,L,NA,
1 98,1_98,WP,58.4,1,1,L,NA,
1 98,1_98,WP,60.2,1,1,L,NA,
1 98,1_98,WP,20,2,1,L,NA,
2 05,2_05,RO,40,2,1,L,Yes,Triple stem
2 05,2_05,RO,40.2,2,1,L,Yes,Triple stem
2 05,2_05,RO,35.7,2,1,L,No,Triple stem
2 05,2_05,RO,38.4,1,1,L,Yes,"Triple stem, third is dead"
2 05,2_05,RO,40.4,1,2,L,Yes,"Triple stem, third is dead"
2 05,2_05,RO,34.6,1,1,L,Yes,
2 05,2_05,RO,38.5,1,1,L,No,
2 05,2_05,RO,41.5,1,1,L,Yes,
2 05,2_05,RO,27.5,1,1,L,No,
2 05,2_05,RO,35.5,2,1,L,Yes,
2 07,2_07,SM,16.2,3,1,L,NA,
2 07,2_07,RO,32.4,2,1,L,Yes,
2 07,2_07,RO,35.7,3,1,L,Yes,
2 07,2_07,RO,56.3,1,1,L,Yes,
2 07,2_07,RO,39.1,1,1,L,No,double stem
2 07,2_07,RM,18,3,1,L,NA,
2 07,2_07,BB,36.1,2,1,L,NA,
2 07,2_07,RO,39.1,1,1,L,No,
2 07,2_07,RO,42.1,1,1,L,Yes,
2 07,2_07,RM,24,3,1,L,NA,
2 07,2_07,Hk,15.2,3,2,L,NA,
2 07,2_07,WA,24.2,1,4,L,NA,
2 07,2_07,RO,58.6,1,1,L,Yes,
2 08,2_08,SM,25.4,2,1,L,NA,
2 08,2_08,RO,43.5,2,1,L,Yes,
2 08,2_08,RO,56.6,1,1,L,Yes,
2 08,2_08,RO,54.4,1,1,L,No,
2 08,2_08,RO,43.7,2,1,L,No,
2 08,2_08,RO,47.3,3,1,L,Yes,
2 08,2_08,RO,39.3,1,1,L,No,
2 08,2_08,RO,41.1,1,1,L,Yes,
2 08,2_08,RO,53.2,1,1,L,No,
2 08,2_08,RO,49,1,2,L,No,
2 08,2_08,RO,58.1,1,1,L,Yes,
2 08,2_08,SM,21.7,2,1,L,NA,
2 08,2_08,SM,16.8,3,1,L,NA,
2 08,2_08,BO,40.3,1,1,L,Yes,
2 15,2_15,SM,29.1,1,1,L,NA,
2 15,2_15,RM,58.1,1,1,L,NA,triple stem
2 15,2_15,SM,92.4,1,1,L,NA,"double stem, tree growing into metal pole"
2 15,2_15,RO,77.5,1,2,L,Yes,
2 15,2_15,WA,48.4,1,4,L,NA,only a couple leaves mostly dead
2 15,2_15,RO,110.1,1,2,L,Yes,triple stem
2 15,2_15,WP,72.9,1,1,L,NA,across a creek
2 15,2_15,SM,22.5,2,3,L,NA,
2 15,2_15,RM,18.2,1,1,L,NA,
2 15,2_15,RM,43.3,1,2,L,NA,
2 15,2_15,WA,35.8,1,4,L,NA,
2 16,2_16,SM,41.8,1,1,L,NA,
2 16,2_16,SM,29.2,1,1,L,NA,
2 16,2_16,RO,46.1,1,2,L,Yes,
2 16,2_16,RO,40.5,1,2,L,Yes,
2 16,2_16,WP,18.2,3,4,L,NA,
2 16,2_16,WP,39.4,2,2,L,NA,
2 16,2_16,WP,43.6,1,1,L,NA,
2 16,2_16,Hk,20.8,1,3,L,NA,"Large scar towards base, bark peeling"
2 16,2_16,WP,51.6,1,1,L,NA,
2 16,2_16,SM,34.9,1,1,L,NA,
2 16,2_16,WP,17.5,3,3,L,NA,
2 16,2_16,WP,13.5,3,4,L,NA,
2 16,2_16,PB,21.2,1,1,L,NA,
2 16,2_16,RP,45.3,1,3,L,NA,
2 16,2_16,Hk,27.1,1,1,L,NA,looked below breast height dobule
2 16,2_16,Hk,15.2,3,1,L,NA,looked below breast height dobule
2 23,2_23,RO,62.7,1,1,L,NA,
2 23,2_23,SM,13.5,3,1,L,NA,
2 23,2_23,RO,39,1,2,L,NA,
2 23,2_23,RO,41.5,1,2,L,Yes,
2 23,2_23,RO,30.3,2,1,L,Yes,
2 23,2_23,RO,53.8,1,2,L,No,
2 23,2_23,RO,48.8,1,2,L,No,
2 23,2_23,RO,66.6,1,1,L,No,
2 23,2_23,RO,58.8,1,2,L,No,
2 23,2_23,WP,70,1,1,L,NA,
2 24,2_24,RO,34.4,1,1,L,Yes,
2 24,2_24,RO,22.8,3,1,L,Yes,
2 24,2_24,RO,34.2,1,1,L,No,
2 24,2_24,SM,13.1,3,2,L,NA,
2 24,2_24,RO,34.5,1,2,L,No,
2 24,2_24,RM,24,2,1,L,NA,double stem
2 24,2_24,RO,38.1,1,1,L,No,double stem
2 24,2_24,RO,49.5,1,1,L,No,
2 24,2_24,RO,39.5,2,1,L,Yes,
2 24,2_24,RO,46.9,1,1,L,Yes,
2 24,2_24,RO,36.9,1,1,L,Yes,
2 24,2_24,RO,31.4,2,1,L,Yes,
2 31,2_31,WA,29.1,1,3,L,NA,
2 31,2_31,WA,41.7,1,2,L,NA,
2 31,2_31,SM,18.5,2,1,L,NA,
2 31,2_31,RM,35.8,1,1,L,NA,
2 31,2_31,SM,32.1,2,1,L,NA,
2 31,2_31,RM,43.7,1,1,L,NA,
2 31,2_31,RO,80.2,1,1,L,No,
2 31,2_31,RM,43.5,1,1,L,NA,
2 31,2_31,RM,46.1,1,1,L,NA,
2 31,2_31,RM,49.8,1,2,L,NA,Double stem
2 31,2_31,RM,26.4,2,1,L,NA,curvy
2 31,2_31,WP,16.8,3,4,L,NA,
2 31,2_31,WP,81.3,1,1,L,NA,
2 31,2_31,RM,27,3,2,L,NA,
2 31,2_31,RM,34.3,3,1,L,NA,
2 31,2_31,WA,57.1,1,1,L,NA,
2 38,2_38,WP,40,1,1,L,NA,
2 38,2_38,RM,47.2,1,1,L,NA,
2 38,2_38,RO,86.9,1,1,L,Yes,
2 38,2_38,BO,54.1,1,2,L,Yes,
2 38,2_38,WP,33.4,1,1,L,NA,
2 38,2_38,WP,15.4,3,1,L,NA,
2 38,2_38,WP,21.1,2,1,L,NA,
2 38,2_38,WP,81.5,1,1,L,NA,
2 38,2_38,HL,93.8,1,1,L,NA,
2 38,2_38,RO,77.9,1,1,L,Yes,
2 38,2_38,WP,32.6,1,1,L,NA,
2 38,2_38,WP,40.9,1,1,L,NA,
2 38,2_38,WP,38.4,1,1,L,NA,
2 38,2_38,SM,34.1,1,1,L,NA,
2 38,2_38,SM,37.3,1,1,L,NA,
2 38,2_38,SM,32.2,1,1,L,NA,
2 39 ,2_39 ,RO,51,1,2,L,Yes,
2 39 ,2_39 ,RO,60,1,1,L,No,
2 39 ,2_39 ,RO,70.2,1,2,L,Yes,
2 39 ,2_39 ,SM,37.3,1,1,L,NA,
2 39 ,2_39 ,Hk,39,1,1,L,NA,
2 39 ,2_39 ,RO,57.3,1,1,L,No,
2 39 ,2_39 ,RO,62.1,1,1,L,No,
2 39 ,2_39 ,RO,56.6,1,2,L,Yes,
2 40,2_40,SM,19.4,1,1,L,NA,
2 40,2_40,RM,39.7,1,2,L,NA,
2 40,2_40,RO,72.8,1,1,L,Yes,
2 40,2_40,RM,38,2,1,L,NA,
2 40,2_40,BB,58.5,1,1,L,NA,
2 41,2_41,RO,61.3,1,1,L,Yes,
2 41,2_41,RO,43.9,1,2,L,Yes,
2 41,2_41,RO,56.9,1,1,L,Yes,[measured one live] one dead double stem
2 41,2_41,RO,42.5,1,1,L,Yes,
2 41,2_41,RO,78.1,1,2,L,Yes,
2 41,2_41,BB,15.1,3,1,L,NA,
2 41,2_41,RM,23.2,2,2,L,NA,
2 41,2_41,WP,82.1,1,1,L,NA,
2 41,2_41,RO,56.2,1,1,L,Yes,big dead branch
2 41,2_41,RO,48.9,1,1,L,Yes,
2 41,2_41,RO,76.8,1,2,L,No,
2 47,2_47,RO,84.5,1,1,L,No,
2 47,2_47,RO,68.9,1,2,L,No,
2 47,2_47,RO,46.3,1,3,L,Yes,
2 47,2_47,RO,41,1,1,L,Yes,
2 47,2_47,RO,60,1,2,L,Yes,
2 47,2_47,RM,42.9,1,1,L,NA,
2 49,2_49,SM,48.3,1,2,L,NA,
2 49,2_49,RM,35.2,1,2,L,NA,
2 49,2_49,RM,64.5,1,2,L,NA,"primary trunk has much more dieback, double stem"
2 50,2_50,WP,64.2,1,2,L,NA,
2 50,2_50,WP,20.4,3,1,L,NA,
2 50,2_50,WP,56.9,1,2,L,NA,
2 50,2_50,RO,53.6,1,1,L,No,
2 50,2_50,WP,24,3,1,L,NA,
2 50,2_50,RO,40.3,1,1,L,Yes,
2 50,2_50,RO,36.5,1,2,L,Yes,double stem
2 50,2_50,RO,49.1,1,2,L,Yes,double stem
2 50,2_50,RO,50.9,1,1,L,Yes,
2 50,2_50,RO,48.7,1,2,L,Yes,double stem
2 50,2_50,RO,44.2,1,2,L,Yes,double stem
3 00,3_00,WP,45.5,1,1,L,NA,
3 00,3_00,WP,41,1,2,L,NA,
3 00,3_00,RO,54.2,1,1,L,Yes,
3 00,3_00,WP,46.2,1,1,L,NA,
3 00,3_00,WP,48.2,1,1,L,NA,
3 00,3_00,RO,38.7,1,1,L,No,
3 00,3_00,WP,58,1,1,L,NA,
3 00,3_00,WP,46.6,1,1,L,NA,
3 00,3_00,WP,44.6,1,1,L,NA,
3 00,3_00,WP,39.9,1,1,L,NA,
3 00,3_00,WP,42.9,1,1,L,NA,
3 04,3_04,RM,44.3,1,1,L,NA,
3 04,3_04,RM,44.7,2,1,L,NA,double stem
3 04,3_04,RM,36.9,2,1,L,NA,double stem
3 04,3_04,RM,34.5,2,1,L,NA,double stem
3 04,3_04,RM,38.8,1,2,L,NA,
3 04,3_04,BB,12,3,1,L,NA,
3 04,3_04,RM,34.1,2,1,L,NA,
3 04,3_04,RO,79.5,1,3,L,Yes,mushrooms
3 04,3_04,RM,64.2,1,1,L,NA,double stem
3 14,3_14,Hk,30.734,1,1,L,NA,
3 14,3_14,HL,35.306,3,4,L,NA,
3 14,3_14,RO,38.1,1,1,L,Yes,
3 14,3_14,RO,43.434,1,1,L,Yes,
3 14,3_14,Hk,32.131,1,1,L,NA,
3 14,3_14,BB,32.004,2,1,L,NA,
3 14,3_14,RO,53.467,1,2,L,Yes,
3 14,3_14,RO,50.419,1,1,L,Yes,large dead branch
3 15,3_15,RO,47.752,2,1,L,Yes,
3 15,3_15,RO,51.816,1,1,L,Yes,
3 15,3_15,RM,14.732,3,1,L,NA,
3 15,3_15,RO,42.672,1,2,L,Yes,
3 15,3_15,WO,40.005,1,1,L,Yes,
3 15,3_15,RO,59.436,1,1,L,Yes,
3 15,3_15,RM,23.114,2,1,L,NA,
3 16,3_16,WP,10.2,1,1,L,NA,
3 17,3_17,RM,60.5,1,3,L,NA,One live branch 
3 17,3_17,RO,52,1,2,L,Yes,
3 17,3_17,WP,77.5,1,1,L,NA,"triple stem, forks below "
3 17,3_17,WP,117.6,1,1,L,NA,"apart of triple stem, two stem measure here as fork above"
3 17,3_17,WP,56.4,1,1,L,NA,
3 19,3_19,BO,37.1,2,1,L,Yes,
3 19,3_19,RM,29.3,2,1,L,NA,Triple stem
3 19,3_19,RM,32.9,2,1,L,NA,triple stem
3 19,3_19,RM,32.7,2,1,L,NA,triple stem
3 19,3_19,WP,58.4,1,1,L,NA,
3 19,3_19,BB,10.6,2,1,L,NA,
3 19,3_19,WP,17.2,2,1,L,NA,
3 19,3_19,BO,60.9,1,1,L,No,double stem
3 19,3_19,WP,57.1,1,1,L,NA,
3 19,3_19,WP,25.5,1,1,L,NA,
3 20,3_20,RO,52.2,1,1,L,Yes,
3 20,3_20,WP,60.9,1,1,L,NA,
3 20,3_20,RO,40.5,1,1,L,No,edge of canopy under a WP but mainly exposed canopy 
3 20,3_20,HL,28.4,1,1,L,NA,
3 20,3_20,WP,93,1,1,L,NA,double stem fork above grace 
3 20,3_20,WP,73.8,1,1,L,NA,3 stem forked high 
3 20,3_20,WP,53,1,1,L,NA,
3 20,3_20,WP,55.4,1,1,L,NA,
3 20,3_20,BO,36,1,1,L,Yes,"some dieback, but not enough to warrent a 2-3, hard to see canopy"
3 21,3_21,WP,48.1,1,1,L,NA,
3 21,3_21,BO,18.3,1,2,L,Yes,
3 22,3_22,PB,53.7,1,1,L,NA,old age or damage on trunk
3 22,3_22,SM,37.9,1,1,L,NA,
3 22,3_22,YB,28.5,1,1,L,NA,
3 22,3_22,YB,12.5,2,1,L,NA,
3 22,3_22,RO,92.3,1,1,L,Yes,lots of epicomic sprouting
3 22,3_22,SM,34.4,1,1,L,NA,
3 22,3_22,SM,36.5,1,1,L,NA,
3 22,3_22,RP,51,1,1,L,NA,
3 25,3_25,RM,20.9,3,1,L,NA,
3 25,3_25,BB,34.6,1,1,L,NA,
3 25,3_25,WO,43.3,1,1,L,No,
3 25,3_25,RO,29.2,1,1,L,Yes,
3 25,3_25,WO,42.5,1,1,L,Yes,
3 25,3_25,RO,45.1,1,1,L,Yes,
3 25,3_25,RO,50.5,1,1,L,Yes,
3 25,3_25,RO,43.9,1,1,L,Yes,
3 27,3_27,RO,42.3,2,1,L,Yes,double stem
3 27,3_27,RO,39.9,2,1,L,Yes,double stem
3 27,3_27,WO,34.5,1,1,L,Yes,
3 27,3_27,WP,46.1,1,1,L,NA,
3 27,3_27,WP,14,3,1,L,NA,
3 27,3_27,WP,10.6,3,1,L,NA,
3 28,3_28,WP,45.6,1,1,L,NA,
3 28,3_28,WP,47.2,1,1,L,NA,
3 28,3_28,BO,32.5,1,2,L,No,
3 28,3_28,BO,40.1,1,2,L,No,
3 28,3_28,WP,82.9,1,1,L,NA,
3 28,3_28,Hk,37.2,2,1,L,NA,
3 28,3_28,Hk,33.7,1,1,L,NA,
3 28,3_28,Hk,36.6,1,1,L,NA,
3 28,3_28,Hk,32.7,1,1,L,NA,
3 28,3_28,RP,29.3,1,3,L,NA,
3 28,3_28,WP,43.6,1,2,L,NA,
3 28,3_28,WP,48.6,1,1,L,NA,
3 28,3_28,WP,57.1,1,1,L,NA,
3 29,3_29,RO,40.3,2,1,L,No,
3 29,3_29,RO,49.2,1,1,L,Yes,
3 29,3_29,RO,40,1,2,L,Yes,
3 30,3_30,RO,48.8,1,1,L,Yes,
3 30,3_30,WP,11.1,3,1,L,NA,
3 30,3_30,WP,33.8,2,1,L,NA,
3 30,3_30,RO,64.6,1,1,L,Yes,
3 30,3_30,WO,37.4,1,1,L,No,
3 30,3_30,RO,64.9,1,1,L,No,
3 32,3_32,WA,36.5,2,1,L,NA,
3 32,3_32,RO,77.9,1,2,L,No,Large dead forked branch
3 32,3_32,WA,51.7,1,1,L,NA,Forks above; forks joined by canker
3 32,3_32,RO,62.8,1,1,L,No,
3 32,3_32,RO,51,1,1,L,Yes,
3 32,3_32,RO,63.5,1,1,L,No,
3 35,3_35,RM,52.9,1,1,L,NA,
3 35,3_35,BO,55.1,1,2,L,No,
3 35,3_35,WP,54.1,1,2,L,NA,
3 35,3_35,WP,53.2,1,1,L,NA,
3 35,3_35,BB,43.1,3,1,L,NA,
3 35,3_35,WP,58.7,1,1,L,NA,
3 35,3_35,RM,18.2,1,1,L,NA,
3 39,3_39,RM,25.8,1,1,L,NA,
3 39,3_39,PB,53.5,2,1,L,NA,
3 39,3_39,RM,27.8,1,1,L,NA,
3 39,3_39,RM,30.6,2,1,L,NA,
3 39,3_39,BB,49.9,1,2,L,NA,
3 39,3_39,BB,47,2,1,L,NA,
3 39,3_39,BB,41,2,1,L,NA,
3 39,3_39,PB,34.7,3,2,L,NA,missing top and branch
3 49,3_49,WA,23.7,1,4,L,NA,
3 49,3_49,RO,39.6,1,1,L,Yes,
3 49,3_49,RO,72.1,1,1,L,Yes,
3 49,3_49,RO,59.8,1,1,L,Yes,
3 49,3_49,RM,51.9,1,1,L,NA,
3 49,3_49,RM,48.2,1,1,L,NA,
3 49,3_49,BB,92.2,1,1,L,NA,double; forks above breast height
3 49,3_49,RO,88,1,1,L,No,
3 49,3_49,BB,31.3,1,1,L,NA,
3 54,3_54,WO,32,1,2,L,No,
3 54,3_54,WA,29.8,1,2,L,NA,
3 54,3_54,BB,39.5,1,1,L,NA,
3 54,3_54,BB,34,1,1,L,NA,
3 54,3_54,RO,64.3,1,2,L,No,
3 54,3_54,WO,48.9,1,1,L,Yes,
3 54,3_54,RM,16.5,2,1,L,NA,
3 54,3_54,RO,48.9,1,2,L,Yes,
3 55,3_55,WO,24,3,1,L,No,
3 55,3_55,BO,44.4,2,2,L,No,
3 55,3_55,BB,38.6,2,1,L,NA,
3 55,3_55,RO,59.1,1,1,L,Yes,
3 55,3_55,BB,23.3,2,1,L,NA,
3 55,3_55,RO,43.6,1,1,L,Yes,
3 55,3_55,BB,37.8,2,1,L,NA,
3 55,3_55,RM,25.6,3,1,L,NA,
3 55,3_55,WP,30.1,2,2,L,NA,
3 60,3_60,BB,15.8,2,1,L,NA,
3 60,3_60,WP,58.7,1,1,L,NA,
3 60,3_60,WP,72.7,1,1,L,NA,
3 60,3_60,WP,62.9,1,1,L,NA,
3 60,3_60,WP,59,1,1,L,NA,
3 60,3_60,BB,26.2,3,1,L,NA,
3 60,3_60,WP,67,1,1,L,NA,
3 60,3_60,WP,74.4,1,1,L,NA,
3 60,3_60,WP,62,1,1,L,NA,
3 62,3_62,WP,70.3,1,1,L,NA,Double stem
3 62,3_62,WP,106.2,1,1,L,NA,Double stem
3 62,3_62,PB,41,2,1,L,NA,
3 62,3_62,RM,46.5,1,1,L,NA,
3 62,3_62,RM,33,1,1,L,NA,
3 62,3_62,RM,29.2,2,1,L,NA,
3 62,3_62,WP,42.6,1,1,L,NA,
3 62,3_62,WP,44.6,1,1,L,NA,
3 62,3_62,WP,82.2,1,1,L,NA,double stem
3 62,3_62,WP,44.6,1,1,L,NA,
3 62,3_62,WP,55.6,1,1,L,NA,
3 62,3_62,WP,42,1,1,L,NA,
3 62,3_62,WP,50.1,1,1,L,NA,
3 63,3_63,WP,68.9,1,1,L,NA,
3 63,3_63,BB,22.3,1,1,L,NA,
3 63,3_63,WP,88.7,1,1,L,NA,
3 63,3_63,WP,130.3,1,1,L,NA,Splits into 4
3 63,3_63,BB,15.5,1,1,L,NA,
3 63,3_63,BB,18,1,1,L,NA,
3 63,3_63,WP,96.4,1,1,L,NA,
3 63,3_63,BB,20.8,1,1,L,NA,
3 63,3_63,BB,23.3,1,1,L,NA,
3 63,3_63,BB,28.2,1,1,L,NA,
3 71,3_71,WP,36.9,2,1,L,NA,
3 71,3_71,WP,84.2,1,1,L,NA,
3 71,3_71,WP,78.5,1,1,L,NA,
3 71,3_71,WP,84.4,1,1,L,NA,
3 71,3_71,YB,27.5,2,1,L,NA,
3 71,3_71,YB,21.5,2,1,L,NA,
3 71,3_71,YB,37.1,1,1,L,NA,
3 71,3_71,YB,42.2,1,1,L,NA,
3 71,3_71,RO,53,1,1,L,Yes,
3 71,3_71,YB,27.7,2,1,L,NA,
3 73,3_73,Hk,54.3,1,1,L,NA,
3 73,3_73,RO,43,1,1,L,No,
3 73,3_73,RO,73.3,1,1,L,Yes,
3 73,3_73,RO,63.4,1,2,L,No,
3 73,3_73,SM,21,3,1,L,NA,
3 73,3_73,WA,44.9,3,3,L,NA,
3 73,3_73,SM,39,1,1,L,NA,
3 73,3_73,RO,44,1,1,L,Yes,
3 73,3_73,RO,44.9,1,2,L,Yes,
3 73,3_73,RO,88.9,1,2,L,Yes,
3 73,3_73,SM,32.4,2,1,L,NA,
3 74,3_74,RO,44.6,1,1,L,Yes,
3 74,3_74,Hk,19.9,3,1,L,NA,
3 74,3_74,RO,35.7,1,1,L,Yes,
3 74,3_74,RO,38.4,2,1,L,Yes,
3 74,3_74,RO,33.1,2,2,L,Yes,
3 74,3_74,RO,31.9,1,1,L,No,
3 74,3_74,RO,30.3,1,2,L,Yes,
3 74,3_74,RO,40.5,1,2,L,No,
3 74,3_74,RO,29.7,1,2,L,Yes,
3 74,3_74,RO,39.9,1,2,L,Yes,
3 74,3_74,RO,42.6,1,2,L,Yes,
3 75,3_75,RM,33.3,1,1,L,NA,double stem
3 75,3_75,RM,15.4,3,1,L,NA,double stem; top broke off
3 75,3_75,RM,29.3,1,1,L,NA,
3 75,3_75,RM,30.4,1,1,L,NA,
3 75,3_75,RM,39.4,1,1,L,NA,
3 75,3_75,RM,46.1,1,1,L,NA,double stem
3 75,3_75,RM,47.4,1,2,L,NA,"double stem; behind tree above, not in line of sight, but same size"
3 75,3_75,RM,45.3,1,1,L,NA,
3 75,3_75,RM,24.7,1,1,L,NA,
3 75,3_75,RM,59,1,1,L,NA,
3 75,3_75,RM,32.5,1,1,L,NA,
3 75,3_75,RO,59,1,1,L,Yes,
3 75,3_75,RM,22.9,2,2,L,NA,
3 75,3_75,RM,40.3,1,1,L,NA,
3 75,3_75,RM,41.2,1,1,L,NA,
3 77,3_77,RM,51.8,1,1,L,NA,double
3 77,3_77,WP,17.6,3,1,L,NA,
3 77,3_77,WP,15.1,2,1,L,NA,
3 77,3_77,WP,12.7,3,1,L,NA,
3 77,3_77,WP,11.6,3,1,L,NA,
3 77,3_77,RM,99.8,1,3,L,NA,"multi stems, few leaves, just alive"
3 77,3_77,RM,38.1,2,1,L,NA,
3 77,3_77,RM,34.8,2,1,L,NA,
3 77,3_77,WP,10.2,3,1,L,NA,
3 77,3_77,WP,14.4,3,1,L,NA,
3 77,3_77,RM,26.8,1,1,L,NA,
3 77,3_77,RM,30.3,1,1,L,NA,
3 77,3_77,WP,11.6,3,1,L,NA,
3 77,3_77,WP,10.5,3,1,L,NA,
3 78,3_78,WP,59.1,1,1,L,NA,
3 78,3_78,RM,72.9,1,1,L,NA,double stem
3 78,3_78,WP,14.6,3,1,L,NA,
3 78,3_78,RM,35.7,1,1,L,NA,
3 78,3_78,WP,13.7,3,1,L,NA,
3 78,3_78,RM,35.5,1,2,L,NA,
3 78,3_78,RM,55.3,1,1,L,NA,bark looks a little dead
3 78,3_78,RM,21.3,1,1,L,NA,
3 78,3_78,RM,42,1,1,L,NA,double stem
3 78,3_78,RM,29.3,1,1,L,NA,
3 78,3_78,RM,41.6,1,1,L,NA,
3 78,3_78,RM,29,1,1,L,NA,same stem
3 78,3_78,RM,28.6,1,1,L,NA,same stem
3 78,3_78,RM,69.6,1,1,L,NA,
3 78,3_78,WP,61.7,1,2,L,NA,
3 78,3_78,RM,63.8,1,2,L,NA,bark dead with mushrooms
3 79,3_79,RO,59.3,1,1,L,No,
3 79,3_79,RM,13.3,3,1,L,NA,
3 79,3_79,WP,75.7,1,1,L,NA,
3 79,3_79,RM,36.8,2,1,L,NA,
3 79,3_79,RO,45.2,1,1,L,Yes,Dead branch
3 79,3_79,RO,58.9,1,1,L,No,
3 79,3_79,RO,50.1,1,1,L,No,
3 79,3_79,WP,69.4,1,1,L,NA,
3 79,3_79,RM,29.5,1,1,L,NA,
3 79,3_79,RO,47.2,1,1,L,Yes,
3 79,3_79,RM,17.3,3,1,L,NA,
3 80,3_80,WO,20.1,3,1,L,Yes,
3 80,3_80,WO,35.4,1,1,L,Yes,
3 80,3_80,RM,35.5,1,2,L,NA,
3 80,3_80,WO,28.9,1,1,L,Yes,
3 80,3_80,WP,83.1,1,1,L,NA,
3 80,3_80,RM,21.5,3,1,L,NA,
3 80,3_80,RM,32.4,1,1,L,NA,
3 80,3_80,WO,58.7,1,1,L,Yes,holes spiraling around trunk in pattern
3 80,3_80,WP,60.1,1,1,L,NA,
3 80,3_80,RM,49.2,1,1,L,NA,
3 80,3_80,WO,23.3,1,1,L,Yes,
3 83,3_83,WA,42.5,1,2,L,NA,
3 83,3_83,WA,22.1,2,2,L,NA,
3 83,3_83,BO,72,1,2,L,No,
3 83,3_83,WA,59.4,1,3,L,NA,
3 83,3_83,RO,52.8,1,1,L,Yes,
3 83,3_83,WA,24.3,2,2,L,NA,
3 83,3_83,WA,23.9,2,2,L,NA,
3 83,3_83,BO,64,1,2,L,Yes,
3 85,3_85,WO,37.6,1,1,L,Yes,
3 85,3_85,RO,55.1,1,1,L,Yes,
3 85,3_85,RO,32.8,1,1,L,Yes,
3 85,3_85,RO,18.5,2,1,L,Yes,
3 88,3_88,SM,19.8,3,1,L,NA,
3 88,3_88,BO,58.2,1,1,L,Yes,
3 88,3_88,RO,51.6,1,1,L,No,
3 88,3_88,RM,17.9,3,1,L,NA,
3 88,3_88,BO,47.5,1,2,L,Yes,
3 88,3_88,WA,46.2,1,1,L,NA,
3 88,3_88,WA,15.2,2,1,L,NA,
3 88,3_88,RO,52.8,1,4,L,Yes,
3 96,3_96,WP,58.5,1,1,L,NA,
3 96,3_96,BO,55.9,1,2,L,Yes,"scars, bark coming off"
3 96,3_96,WP,55.2,1,1,L,NA,
3 96,3_96,WP,60.9,1,1,L,NA,double stem above dbh
3 96,3_96,BO,36.4,2,2,L,Yes,big dead branch
3 96,3_96,WP,70.4,1,1,L,NA,no blue line
3 96,3_96,BO,31,3,2,L,Yes,
3 96,3_96,BO,48.5,1,1,L,Yes,signifcant dead branches
3 96,3_96,RM,20.6,3,1,L,NA,foliage in layers
3 96,3_96,WP,55.6,1,1,L,NA,
